Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Royal Challengers Bangalore RCB,14,9,4,0,1,+0.326,"1,962/237","2,000/251.3",19
Chennai Super Kings CSK,14,9,5,0,0,+0.443,"2,118/265.1","1,978/262.1",18
Mumbai Indians MI,14,9,5,0,0,+0.040,"1,998/275.2","1,951/270.2",18
Kolkata Knight Riders KKR,14,8,6,0,0,+0.433,"1,888/249.2","1,861/260.4",16
Kings XI Punjab KXIP,14,7,7,0,0,-0.051,"2,224/275.4","2,173/267.4",14
Rajasthan Royals RR,14,6,7,0,1,-0.691,"1,687/242.2","1,801/235.2",13
Deccan Chargers DEC,14,6,8,0,0,+0.222,"2,140/279.2","2,037/273.5",12
Kochi Tuskers Kerala KTK,14,6,8,0,0,-0.214,"1,901/256.2","1,989/260.4",12
Pune Warriors India PWI,14,4,9,0,1,-0.134,"1,775/247.3","1,858/254.2",9
Delhi Capitals DC,14,4,9,0,1,-0.448,"2,031/258.2","2,076/249.5",9
